mission_name,timestamp,BatteryStatus0_current_a,BatteryStatus0_current_average_a,BatteryStatus0_current_filtered_a,BatteryStatus0_discharged_mah,BatteryStatus0_remaining,BatteryStatus0_scale,BatteryStatus0_time_remaining_s,BatteryStatus0_voltage_filtered_v,BatteryStatus0_voltage_v,BatteryStatus1_current_average_a,SensorBaro0_pressure,SensorBaro0_temperature,SensorBaro1_pressure,SensorBaro1_temperature
10min_square_0,1970-01-01 00:11:55,12.897583,14.433923,9.019596,178.78528,0.98974013,1,5431.931,24.362146,24.175,14.850899,99630.72,56.629997,99630.28,42.059998
10min_square_0,1970-01-01 00:12:00,24.218628,15.33236,22.037617,212.40128,0.98821163,1.0053222,5098.7534,23.808638,23.77125,14.557126,99609.96,56.52,99607.61,42.02
10min_square_0,1970-01-01 00:12:05,25.244629,16.35781,25.010895,248.15492,0.9865807,1.005944,4771.577,23.704313,23.67875,14.269165,99560.33,56.46,99558.11,41.98
10min_square_0,1970-01-01 00:12:10,26.07544,17.260683,26.04102,284.28098,0.9849303,1.0077324,4514.7134,23.630014,23.615,13.986899,99558.61,56.66,99554.86,41.94
10min_square_0,1970-01-01 00:12:15,21.76123,18.140953,27.10351,321.66077,0.9832174,1.0088354,4290.8335,23.571445,23.6875,13.7102165,99561.195,56.41,99558.945,41.86
10min_square_0,1970-01-01 00:12:20,24.854248,18.826914,25.003275,356.13397,0.98163265,1.0107298,4126.8394,23.588749,23.59375,13.439009,99556.43,56.55,99558.08,41.78
10min_square_0,1970-01-01 00:12:25,27.281616,19.468029,26.30778,392.96335,0.9799358,1.010824,3983.3918,23.547348,23.512499,13.173165,99557.43,56.6,99559.82,41.69
10min_square_0,1970-01-01 00:12:30,24.503906,20.011051,24.601797,427.51883,0.97833985,1.012417,3870.3516,23.560232,23.564999,12.91258,99549.805,56.379997,99547.44,41.55
10min_square_0,1970-01-01 00:12:35,24.669067,20.476376,24.456799,462.30704,0.9767303,1.0128407,3776.3245,23.554417,23.5525,12.657149,99550.555,56.62,99545.85,41.41
10min_square_0,1970-01-01 00:12:40,25.054443,20.881903,24.900078,496.85583,0.9751303,1.0131553,3696.9587,23.533579,23.5275,12.431584,99556.83,56.489998,99551.87,41.27
10min_square_0,1970-01-01 00:12:45,25.369751,21.338253,25.38098,531.56586,0.97352296,1.0138206,3612.0085,23.503218,23.50375,12.185669,99561.11,56.44,99557.875,41.239998
10min_square_0,1970-01-01 00:12:50,25.650024,21.71043,25.416555,565.0387,0.97197026,1.0140959,3544.4792,23.495565,23.488749,11.944619,99562.47,56.649998,99558.65,41.219997
10min_square_0,1970-01-01 00:12:55,24.368774,22.067757,24.600048,603.0376,0.97020537,1.0148792,3481.2905,23.501335,23.508749,11.708338,99567.055,56.379997,99563.29,41.21
10min_square_0,1970-01-01 00:13:00,25.534912,22.38082,25.770393,637.2377,0.96861744,1.0148869,3426.7256,23.466043,23.471249,11.47673,99560.914,56.539997,99557.87,41.14
10min_square_0,1970-01-01 00:13:05,24.909302,22.634752,25.14614,672.2094,0.9669905,1.0152217,3382.864,23.476774,23.48,11.249704,99556.12,56.59,99553.01,41.04
10min_square_0,1970-01-01 00:13:10,25.16455,22.956654,25.625565,709.19763,0.96527296,1.015723,3329.5334,23.450434,23.467499,11.049222,99556.93,56.34,99553.25,40.969997
10min_square_0,1970-01-01 00:13:15,25.920288,23.129725,25.4295,743.82574,0.9636602,1.0154966,3298.9373,23.461714,23.44125,10.830653,99562.625,56.62,99558.305,40.899998
10min_square_0,1970-01-01 00:13:20,26.255615,23.437326,26.330368,779.3517,0.9620126,1.015952,3250.077,23.423832,23.426249,10.616407,99565.55,56.48,99560.93,40.95
10min_square_0,1970-01-01 00:13:25,25.314697,23.687626,25.727894,816.389,0.96029174,1.0165511,3210.3123,23.427633,23.43875,10.406398,99565.586,56.41,99563.07,40.96
10min_square_0,1970-01-01 00:13:30,25.549927,23.870934,25.404678,850.85315,0.9586891,1.0167413,3180.333,23.432804,23.42875,10.220945,99562.65,56.629997,99559.72,40.95
10min_square_0,1970-01-01 00:13:35,25.865234,24.060617,25.876736,888.3198,0.95694816,1.016791,3149.5012,23.41746,23.414999,10.018759,99557.8,56.37,99557.68,40.91
10min_square_0,1970-01-01 00:13:40,24.083496,24.126476,24.45523,914.7749,0.9557162,1.0174706,3137.3413,23.443943,23.457499,9.859894,99551.8,56.489998,99549.836,40.809998
10min_square_0,1970-01-01 00:13:45,25.394775,24.32279,25.110357,958.8009,0.9536726,1.0178114,3105.0808,23.416197,23.42125,9.626307,99555.87,56.579998,99552.87,40.75
10min_square_0,1970-01-01 00:13:50,26.010376,24.300835,25.604942,991.0842,0.95216817,1.0166289,3102.8206,23.429472,23.40375,9.435884,99561.695,56.32,99556.734,40.69
10min_square_0,1970-01-01 00:13:55,25.720093,24.48001,25.72681,1027.661,0.95047325,1.0175817,3074.7485,23.403158,23.40375,9.2492285,99564.5,56.57,99559.11,40.73
10min_square_0,1970-01-01 00:14:00,25.259644,24.598429,26.248795,1059.4508,0.9489983,1.0176353,3055.343,23.386223,23.4075,9.102567,99563.79,56.399998,99560.695,40.76
10min_square_0,1970-01-01 00:14:05,25.60498,24.731712,25.242561,1100.6265,0.94708765,1.0182446,3032.7078,23.401947,23.394999,8.9046955,99565.11,56.36,99559.55,40.79
10min_square_0,1970-01-01 00:14:10,25.925293,24.799433,25.753681,1134.7855,0.9455026,1.0180844,3019.3035,23.390417,23.3825,8.728546,99556.87,56.62,99552.836,40.76
10min_square_0,1970-01-01 00:14:15,25.775146,24.87203,26.31185,1169.085,0.9439126,1.0179867,3005.483,23.375992,23.38,8.5558815,99560.86,56.379997,99555.03,40.69
10min_square_0,1970-01-01 00:14:20,25.269653,24.988516,25.371807,1207.621,0.94212717,1.0188715,2985.9631,23.383205,23.39,8.386633,99555.65,56.46,99553.484,40.66
10min_square_0,1970-01-01 00:14:25,26.105469,25.02185,25.766447,1243.0221,0.94048625,1.0185758,2976.601,23.378376,23.3675,8.220732,99564.12,56.579998,99558.65,40.6
10min_square_0,1970-01-01 00:14:30,26.610962,25.11521,25.878149,1279.3602,0.93880486,1.0187836,2960.1387,23.3701,23.355,8.074229,99562.836,56.309998,99557.734,40.649998
10min_square_0,1970-01-01 00:14:35,26.04541,25.180666,25.369913,1313.9991,0.93720245,1.0193052,2947.553,23.372988,23.359999,7.9145093,99560.79,56.55,99559.3,40.68
10min_square_0,1970-01-01 00:14:40,25.534912,25.229706,26.024164,1350.5681,0.93551093,1.0191143,2936.6443,23.357882,23.363749,7.757949,99564.54,56.489998,99559.55,40.69
10min_square_0,1970-01-01 00:14:45,32.671875,25.282679,27.60086,1369.8477,0.93462086,1.0183294,2926.0671,23.329187,23.205,7.742464,99563.16,56.579998,99561.36,40.68
10min_square_0,1970-01-01 00:14:50,24.994385,25.38552,24.970516,1423.5046,0.9321409,1.0202308,2908.2654,23.363077,23.3675,7.4540577,99562.44,56.59,99559.18,40.59
10min_square_0,1970-01-01 00:14:55,24.133545,25.331758,24.6441,1457.4406,0.93056977,1.0202438,2909.7104,23.372559,23.383749,7.321219,99554.4,56.399998,99552.66,40.55
10min_square_0,1970-01-01 00:15:00,23.833252,25.3481,26.50848,1493.0255,0.92892706,1.0194283,2902.7734,23.335918,23.38,7.1763935,99564.66,56.41,99561.484,40.45
10min_square_0,1970-01-01 00:15:05,25.84021,25.405766,25.922071,1529.333,0.92725354,1.0201297,2890.524,23.33692,23.335,7.034434,99560.64,56.579998,99556.76,40.44
