mission_name,timestamp,BatteryStatus0_current_a,BatteryStatus0_current_average_a,BatteryStatus0_current_filtered_a,BatteryStatus0_discharged_mah,BatteryStatus0_remaining,BatteryStatus0_scale,BatteryStatus0_time_remaining_s,BatteryStatus0_voltage_filtered_v,BatteryStatus0_voltage_v,BatteryStatus1_current_average_a,BatteryStatus1_scale,SensorBaro0_pressure,SensorBaro0_temperature,SensorBaro1_pressure,SensorBaro1_temperature
10min_square_0,1970-01-01 00:11:56,0.9559326,14.832866,0.97004384,175.87947,0.9898722,1.002128,5295.3057,24.51866,24.5175,14.97006,1.28125,99645.47,56.64,99643.14,42.07
10min_square_0,1970-01-01 00:11:58,12.897583,14.433923,9.019596,178.78528,0.98974013,1,5431.931,24.362146,24.175,14.850899,1.28125,99630.72,56.629997,99630.28,42.059998
10min_square_0,1970-01-01 00:12:00,28.332642,14.70977,25.701643,191.17874,0.9891769,1,5316.076,23.904861,23.707499,14.732685,1.28125,99636.79,56.44,99631.8,42.03
10min_square_0,1970-01-01 00:12:02,24.619019,15.200938,25.606075,206.30562,0.9884893,1.003043,5143.87,23.757183,23.762499,14.615412,1.28125,99616.85,56.41,99613.14,42.02
10min_square_0,1970-01-01 00:12:04,27.201538,15.779918,33.605766,223.08464,0.98772603,1.0011508,4950.2817,23.563549,23.64625,14.499073,1.28125,99593.28,56.629997,99592.375,42.01
10min_square_0,1970-01-01 00:12:06,23.242676,16.053411,22.694838,235.69803,0.98714894,1.0070683,4865.78,23.746494,23.748749,14.383659,1.28125,99563.64,56.649998,99558.164,41.989998
10min_square_0,1970-01-01 00:12:08,25.244629,16.35781,25.010895,248.15492,0.9865807,1.005944,4771.577,23.704313,23.67875,14.269165,1.28125,99560.33,56.46,99558.11,41.98
10min_square_0,1970-01-01 00:12:10,26.200562,16.737417,26.310919,262.7297,0.9859159,1.0065298,4660.009,23.651081,23.635,14.155582,1.28125,99560.71,56.41,99556.19,41.969997
10min_square_0,1970-01-01 00:12:12,25.960327,17.083866,25.73609,277.01123,0.98526293,1.0075125,4562.9004,23.644487,23.62875,14.042902,1.28125,99561.39,56.61,99555.47,41.95
10min_square_0,1970-01-01 00:12:14,25.905273,17.432547,25.93251,291.5219,0.98459876,1.008179,4468.919,23.622454,23.615,13.93112,1.28125,99555.26,56.629997,99556.375,41.93
10min_square_0,1970-01-01 00:12:16,26.005371,17.784033,26.030228,306.76608,0.9839002,1.0087396,4377.6943,23.60596,23.59875,13.820227,1.28125,99557.086,56.449997,99555.695,41.899998
10min_square_0,1970-01-01 00:12:18,21.76123,18.140953,27.10351,321.66077,0.9832174,1.0088354,4290.8335,23.571445,23.6875,13.7102165,1.28125,99561.195,56.41,99558.945,41.86
10min_square_0,1970-01-01 00:12:20,25.790161,18.455791,26.469988,336.39108,0.9825415,1.0098232,4213.073,23.5666,23.58,13.601083,1.28125,99561.516,56.6,99557.086,41.829998
10min_square_0,1970-01-01 00:12:22,25.414795,18.727962,25.303606,350.57065,0.9818888,1.01057,4149.421,23.583588,23.58125,13.492818,1.28125,99559.164,56.64,99554.26,41.8
10min_square_0,1970-01-01 00:12:24,24.604004,18.975647,24.896067,364.5404,0.9812453,1.0109229,4093.0698,23.587317,23.59375,13.385414,1.28125,99558.87,56.449997,99557.375,41.76
10min_square_0,1970-01-01 00:12:26,25.359741,19.204254,25.155512,378.42114,0.9806053,1.0108542,4041.5151,23.581186,23.56875,13.305423,1.28125,99559.375,56.399998,99558.125,41.73
10min_square_0,1970-01-01 00:12:28,27.281616,19.468029,26.30778,392.96335,0.9799358,1.010824,3983.3918,23.547348,23.512499,13.173165,1.28125,99557.43,56.6,99559.82,41.69
10min_square_0,1970-01-01 00:12:30,25.279663,19.692095,25.480125,405.89206,0.97933966,1.0117764,3936.5945,23.549269,23.555,13.094441,1.28125,99552.83,56.629997,99553.234,41.64
10min_square_0,1970-01-01 00:12:32,24.719116,19.9077,25.038301,419.94885,0.9786899,1.0121057,3891.7039,23.554611,23.56375,12.96428,1.28125,99549.984,56.46,99550.07,41.579998
10min_square_0,1970-01-01 00:12:34,24.759155,20.103704,24.822544,434.42053,0.9780204,1.0122361,3851.2024,23.557953,23.555,12.861085,1.28125,99558.62,56.41,99552.19,41.52
10min_square_0,1970-01-01 00:12:36,24.624023,20.31442,25.311203,448.64908,0.9773631,1.0124195,3808.8406,23.53889,23.55375,12.75871,1.28125,99554.734,56.61,99550.984,41.469997
10min_square_0,1970-01-01 00:12:38,24.669067,20.476376,24.456799,462.30704,0.9767303,1.0128407,3776.3245,23.554417,23.5525,12.657149,1.28125,99550.555,56.62,99545.85,41.41
10min_square_0,1970-01-01 00:12:40,27.066406,20.6241,24.89126,475.91867,0.9760994,1.0125054,3746.0496,23.549427,23.488749,12.556397,1.28125,99550.55,56.43,99549.43,41.35
10min_square_0,1970-01-01 00:12:42,24.879272,20.69607,24.988035,481.4804,0.97584206,1.012619,3732.8594,23.5438,23.54125,12.469202,1.28125,99553.85,56.379997,99551.48,41.329998
10min_square_0,1970-01-01 00:12:44,31.42566,20.984423,27.013018,504.31296,0.9747857,1.0120167,3675.4133,23.497509,23.36875,12.382007,1.28125,99561.29,56.59,99556.41,41.26
10min_square_0,1970-01-01 00:12:46,25.289673,21.191082,25.694244,518.8167,0.97411454,1.013673,3639.2715,23.497353,23.508749,12.283445,1.28125,99559.05,56.62,99557.22,41.239998
10min_square_0,1970-01-01 00:12:48,25.369751,21.338253,25.38098,531.56586,0.97352296,1.0138206,3612.0085,23.503218,23.50375,12.185669,1.28125,99561.11,56.44,99557.875,41.239998
10min_square_0,1970-01-01 00:12:50,25.58496,21.51305,25.798468,545.98126,0.97285485,1.0137662,3580.1992,23.491995,23.49625,12.088671,1.28125,99562.73,56.399998,99557.3,41.23
10min_square_0,1970-01-01 00:12:52,25.38977,21.666828,25.448277,560.7885,0.9721675,1.0140109,3552.4014,23.496645,23.494999,11.992444,1.28125,99564.44,56.59,99558.93,41.219997
10min_square_0,1970-01-01 00:12:54,25.179565,21.819584,25.403435,575.0618,0.9715052,1.0143309,3525.2537,23.49034,23.49625,11.920778,1.28125,99564.484,56.629997,99560.54,41.23
10min_square_0,1970-01-01 00:12:56,24.864258,21.962782,25.168764,589.28674,0.9708449,1.0146232,3500.0413,23.490389,23.5,11.802284,1.28125,99563.71,56.449997,99559.78,41.219997
10min_square_0,1970-01-01 00:12:58,24.368774,22.067757,24.600048,603.0376,0.97020537,1.0148792,3481.2905,23.501335,23.508749,11.708338,1.28125,99567.055,56.379997,99563.29,41.21
10min_square_0,1970-01-01 00:13:00,25.905273,22.174385,25.144812,616.93304,0.9695592,1.0145732,3461.8008,23.492304,23.46875,11.615139,1.28125,99567.04,56.579998,99562.4,41.2
10min_square_0,1970-01-01 00:13:02,25.589966,22.313557,26.13583,630.05927,0.9689507,1.0144682,3438.197,23.465082,23.47,11.522682,1.28125,99563.82,56.62,99558.71,41.17
10min_square_0,1970-01-01 00:13:04,24.859253,22.450676,25.135744,645.7093,0.9682236,1.0153352,3414.903,23.474377,23.484999,11.430962,1.28125,99555.445,56.44,99554.05,41.11
